Year_Birth,Education,Marital_Status,Income,Children,Teens,DaysSinceLastPurchase,Alcohol,Fruits,Meats,Vegetables,Grains,Discounts,WebPurchases,StorePurchases
1986,College,Single,0,1,0,19,5,1,6,3,263,0,27,0
1978,College,Single,0,0,0,53,32,2,536,12,4,0,0,1
1973,College,Single,4000,1,0,56,2,1,0,0,0,0,0,0
1969,College,Married,4000,0,1,0,16,4,7,2,4,0,25,0
1965,College,Divorced,5000,0,0,20,2,1,0,1,0,0,0,0
1976,College,Married,5000,0,1,12,12,4,6,1,3,0,1,0
1957,Graduate,Single,7000,0,1,76,107,2,7,2,2,0,0,1
1982,Graduate,Single,7000,0,0,2,67,11,9,4,3,0,1,1
1966,Graduate,Single,7000,0,2,92,81,4,11,5,2,0,23,1
1978,College,Divorced,72000,0,0,95,737,21,35,55,63,0,6,9
1976,College,Single,76000,0,0,40,1032,105,260,137,105,0,5,9
1980,College,Single,82000,0,0,75,249,153,313,58,134,0,6,7
1948,Graduate,Single,82000,0,0,54,332,194,126,149,125,0,4,7
1948,Graduate,Single,82000,0,0,54,332,194,126,149,125,0,4,7
1962,Graduate,Single,83000,0,0,28,861,31,186,62,95,0,6,13
1958,Graduate,Single,84000,0,0,80,152,27,34,106,54,0,9,4
1975,College,Divorced,84000,0,0,78,897,161,143,186,161,0,4,6
1975,College,Divorced,84000,0,0,78,897,161,143,186,161,0,4,6
1961,College,Single,86000,0,0,10,464,28,291,29,18,0,7,7
1983,Graduate,Married,87000,0,0,72,532,21,42,26,20,0,4,5
1979,College,Single,90000,0,0,7,594,134,262,33,134,0,5,8
1990,Graduate,Single,91000,0,0,94,162,28,273,0,28,0,4,7
1956,College,Single,91000,0,0,84,1324,27,40,71,108,0,7,6
1970,College,Married,91000,0,0,25,547,99,271,151,82,0,4,5
1948,College,Married,92000,0,0,9,992,24,231,51,19,0,5,5
1986,Graduate,Single,92000,0,0,72,410,73,249,76,161,0,5,12
1947,Graduate,Single,92000,0,0,47,1276,24,249,94,29,0,9,11
1975,Graduate,Married,92000,0,0,25,817,183,266,106,163,0,5,5
1941,Graduate,Married,93000,0,0,77,1285,42,239,55,0,0,7,5
1960,College,Single,93000,0,0,32,493,183,117,184,23,0,3,13
1970,College,Single,94000,0,0,16,1302,68,244,89,114,0,6,12
1953,College,Single,94000,0,0,62,1111,24,263,160,45,0,5,5
1953,College,Single,94000,0,0,62,1111,24,263,160,45,0,5,5
1951,College,Married,95000,0,0,35,879,143,266,106,143,0,5,9
1980,College,Married,97000,0,0,4,448,21,42,52,101,0,7,8
1960,Graduate,Single,99000,0,0,23,1000,19,237,125,115,0,4,9
1960,Graduate,Single,99000,0,0,23,1000,19,237,125,115,0,4,9
1983,College,Single,102000,0,0,69,722,27,34,44,72,0,6,13
1977,Graduate,Single,102000,0,0,54,763,29,46,76,176,0,7,10
1970,College,Single,105000,0,0,36,1009,181,35,202,21,0,9,13
1945,Graduate,Single,114000,0,0,9,6,2,6,1,262,0,27,0
1975,College,Divorced,154000,0,0,81,1,1,0,1,1,0,0,0
1949,Graduate,Married,157000,0,0,85,2,1,6,1,1,0,0,0
1977,College,Single,157000,0,0,13,1,0,575,2,1,0,0,0
1971,Graduate,Single,158000,1,0,37,39,1,7,2,0,0,1,1
1976,Graduate,Single,162000,1,1,31,85,1,16,2,1,0,0,1
1983,College,Married,0,1,0,11,5,5,6,0,2,1,1,2
1972,Graduate,Single,0,1,0,17,25,1,7,0,0,1,1,3
1957,College,Single,0,1,1,45,7,0,7,2,0,1,1,2
1964,College,Single,0,1,1,49,5,1,7,2,0,1,1,2
1958,College,Single,0,1,1,87,19,4,7,2,2,1,1,3
1959,Graduate,Single,0,0,0,80,81,11,17,3,2,1,1,4
1963,College,Married,0,0,1,96,231,65,65,38,71,1,6,7
1989,College,Married,0,0,0,69,861,138,154,60,30,1,6,12
1973,Graduate,Single,0,0,0,87,445,37,120,98,28,1,2,8
1943,Graduate,Single,0,0,0,75,532,126,163,164,126,1,5,11
1950,Graduate,Single,6000,1,1,68,28,0,6,1,1,1,1,0
1979,College,Married,8000,0,1,61,5,2,6,3,0,1,1,2
1987,College,Married,8000,0,0,94,0,2,6,4,1,1,0,3
1976,HS,Married,8000,0,0,59,6,16,7,11,1,1,2,3
1989,College,Single,9000,1,0,91,9,0,6,2,0,1,1,2
1975,College,Divorced,11000,0,0,16,0,0,0,6,2,1,1,2
1978,College,Married,12000,0,0,38,5,6,15,11,7,1,2,3
1952,HS,Single,13000,0,0,29,2,0,6,3,7,1,1,3
1969,College,Married,14000,1,0,24,11,0,6,2,1,1,1,3
1988,HS,Single,14000,1,0,43,2,7,6,2,15,1,2,2
1996,HS,Married,14000,0,0,81,0,0,6,3,3,1,1,2
1972,HS,Married,14000,0,0,40,2,7,7,16,12,1,2,4
1951,College,Single,15000,0,0,37,0,4,6,6,0,1,1,3
1956,Graduate,Single,15000,0,0,88,4,1,7,6,2,1,1,3
1963,HS,Single,15000,0,1,52,3,3,6,15,4,1,1,3
1956,College,Married,16000,0,0,12,1,2,6,6,0,1,1,2
1979,HS,Single,16000,1,0,26,1,1,6,11,9,1,1,3
1985,HS,Single,17000,0,0,51,1,3,6,2,3,1,0,3
1987,College,Married,17000,0,0,38,3,14,6,6,1,1,1,3
1989,HS,Married,17000,1,0,37,0,0,0,7,4,1,1,2
1950,College,Single,17000,0,0,49,4,8,7,12,2,1,2,3
1984,College,Single,17000,1,0,23,3,0,6,13,0,1,1,3
1985,Graduate,Married,18000,1,0,40,9,0,6,0,0,1,1,2
1990,College,Married,18000,0,0,1,1,12,7,0,14,1,2,3
1982,Graduate,Single,18000,1,0,75,2,2,6,2,1,1,1,2
1979,College,Married,18000,1,0,82,2,2,0,3,1,1,1,2
1946,College,Married,18000,0,0,14,3,1,6,4,3,1,0,3
1987,College,Single,18000,1,0,21,1,2,6,4,3,1,0,2
1990,College,Married,18000,0,0,70,12,4,6,12,6,1,2,3
1986,Graduate,Single,19000,2,0,80,6,0,6,0,0,1,1,2
1974,College,Divorced,19000,1,0,26,2,0,7,3,6,1,1,3
1981,College,Single,19000,1,0,32,2,3,7,3,5,1,1,3
1973,HS,Married,19000,1,0,41,2,8,0,4,7,1,1,3
1984,Graduate,Single,19000,0,0,5,6,4,0,7,2,1,0,2
1959,College,Married,19000,0,0,77,6,1,6,23,4,1,1,2
1959,College,Married,19000,0,0,77,6,1,6,23,4,1,1,2
1959,College,Married,19000,0,0,77,6,1,6,23,4,1,1,2
1990,College,Married,19000,0,0,15,32,0,7,23,4,1,1,4
1990,College,Married,19000,0,0,15,32,0,7,23,4,1,1,4
1990,College,Married,19000,0,0,15,32,0,7,23,4,1,1,4
1973,Graduate,Single,20000,1,0,63,5,0,6,0,0,1,1,2
1985,College,Married,20000,1,0,74,3,6,6,0,2,1,0,3
1985,College,Married,20000,1,0,74,3,6,6,0,2,1,0,3
1986,College,Single,20000,0,0,16,5,4,6,4,2,1,0,2
1974,College,Married,20000,0,0,99,0,6,6,7,6,1,1,3
1974,College,Married,20000,0,0,99,0,6,6,7,6,1,1,3
1976,College,Single,20000,0,0,27,18,42,8,15,20,1,2,4
1976,College,Single,20000,0,0,27,18,42,8,15,20,1,2,4
1991,College,Single,20000,0,0,18,8,8,7,24,11,1,1,4
1973,College,Married,21000,1,0,24,18,3,6,3,0,1,2,3
1970,College,Single,21000,1,0,39,2,3,6,4,1,1,1,2
1970,College,Single,21000,1,0,39,2,3,6,4,1,1,1,2
1988,College,Single,21000,1,0,58,4,1,6,4,1,1,1,2
1977,College,Single,21000,0,0,14,2,12,7,6,13,1,3,2
1976,Graduate,Single,21000,0,0,89,36,4,6,6,2,1,2,4
1956,College,Divorced,22000,0,0,91,3,2,6,0,4,1,1,2
1983,Graduate,Single,22000,1,0,80,17,0,7,0,0,1,1,3
1983,College,Single,22000,0,0,16,15,5,14,0,4,1,1,3
1985,College,Single,22000,1,0,94,5,4,7,2,0,1,1,3
1975,College,Single,22000,1,0,85,2,1,6,3,1,1,1,2
1957,College,Single,22000,0,1,4,9,0,6,3,1,1,0,3
1957,College,Single,22000,0,1,4,9,0,6,3,1,1,0,3
1969,HS,Single,22000,0,0,49,0,1,6,15,1,1,1,2
1963,College,Married,22000,0,0,74,30,3,16,19,21,1,3,2
1963,College,Married,22000,0,0,74,30,3,16,19,21,1,3,2
1960,HS,Single,22000,0,0,77,3,3,8,34,7,1,2,3
1977,Graduate,Married,23000,1,0,2,2,4,7,0,4,1,1,3
1978,College,Single,23000,1,0,40,5,1,7,0,0,1,1,2
1978,College,Single,23000,1,0,40,5,1,7,0,0,1,1,2
1959,College,Divorced,23000,0,0,72,0,0,0,2,12,1,1,2
1971,College,Single,23000,1,0,75,14,1,6,2,1,1,2,2
1971,College,Single,23000,1,0,75,14,1,6,2,1,1,2,2
1953,College,Divorced,23000,0,0,29,19,3,6,4,2,1,1,3
1985,College,Married,23000,0,0,83,4,6,7,6,3,1,2,3
1987,College,Single,23000,1,0,71,2,0,6,8,6,1,1,3
1966,HS,Single,23000,0,0,47,2,23,7,8,6,1,2,2
1966,HS,Single,23000,0,0,47,2,23,7,8,6,1,2,2
1965,College,Single,23000,0,0,51,28,6,9,12,17,1,3,3
1970,College,Single,23000,0,0,23,3,9,15,13,2,1,1,2
1982,Graduate,Single,24000,1,0,46,18,0,6,0,0,1,1,3
1983,Graduate,Married,24000,1,0,53,6,0,6,0,0,1,0,3
1982,HS,Single,24000,1,0,58,2,4,6,0,11,1,1,2
1959,College,Single,24000,0,0,94,8,9,7,2,5,1,1,3
1983,College,Single,24000,1,0,79,9,1,6,3,0,1,1,2
1970,College,Single,24000,1,0,66,7,2,7,3,2,1,1,3
1965,HS,Single,24000,0,1,67,9,7,7,3,2,1,1,2
1987,College,Single,24000,0,0,3,1,8,6,4,8,1,1,3
1977,College,Single,24000,1,0,64,22,0,6,6,2,1,1,3
1969,College,Divorced,24000,1,0,80,16,12,6,7,1,1,2,3
1981,College,Single,24000,1,0,82,1,6,6,8,2,1,1,2
1957,College,Married,24000,0,0,13,4,24,7,16,1,1,2,4
1975,College,Married,24000,1,0,47,2,1,6,20,11,1,2,3
1990,HS,Married,24000,0,0,6,16,36,7,20,62,1,4,3
1976,College,Single,25000,1,1,79,4,0,6,0,0,1,1,2
1972,College,Married,25000,1,0,32,3,6,6,0,0,1,0,3
1969,College,Married,25000,1,0,51,15,0,7,0,2,1,1,2
1969,College,Married,25000,1,0,51,15,0,7,0,2,1,1,2
1986,College,Married,25000,1,0,26,1,3,6,2,2,1,1,2
1988,College,Married,25000,1,0,16,5,3,6,4,1,1,1,2
1982,College,Married,25000,0,0,86,10,7,8,6,3,1,3,3
1989,HS,Married,25000,1,0,82,1,4,6,8,9,1,1,3
1979,HS,Single,25000,1,0,94,1,3,6,10,0,1,1,3
1979,HS,Single,25000,1,0,94,1,3,6,10,0,1,1,3
1983,College,Married,25000,1,0,45,10,1,6,10,4,1,1,2
1973,College,Married,25000,1,0,48,2,2,6,13,13,1,1,4
1978,HS,Single,25000,1,0,52,1,4,7,29,0,1,1,2
1978,HS,Single,25000,1,0,52,1,4,7,29,0,1,1,2
1976,College,Single,26000,0,0,12,1,0,6,0,3,1,0,3
1967,College,Single,26000,1,1,87,6,1,6,2,0,1,1,2
1969,College,Married,26000,1,0,5,4,1,6,2,0,1,1,2
1971,College,Divorced,26000,1,0,51,5,2,7,2,2,1,0,2
1984,HS,Single,26000,1,0,18,1,6,6,3,6,1,1,3
1973,College,Married,26000,1,0,50,2,6,6,3,1,1,1,2
1971,College,Married,26000,1,0,75,1,3,6,3,6,1,1,2
1990,College,Single,26000,1,0,77,11,7,7,3,1,1,1,3
1956,College,Divorced,26000,2,1,61,5,1,7,3,5,1,1,3
1980,HS,Married,26000,0,0,29,2,2,7,41,7,1,2,3
1973,HS,Single,27000,1,0,13,1,6,6,0,1,1,1,2
1974,College,Married,27000,2,0,26,1,1,6,0,3,1,1,2
1986,College,Single,27000,1,0,40,10,0,7,0,0,1,1,2
1984,College,Married,27000,1,0,3,22,1,7,0,1,1,1,3
1971,College,Single,27000,1,0,17,4,1,7,0,0,1,1,2
1983,Graduate,Married,27000,1,0,64,12,0,7,2,0,1,1,3
1983,Graduate,Married,27000,1,0,64,12,0,7,2,0,1,1,3
1947,College,Married,27000,0,0,2,9,1,6,3,2,1,0,3
1959,College,Married,27000,0,1,27,6,7,6,3,4,1,1,3
1986,College,Single,27000,0,0,50,5,1,6,3,4,1,0,3
1981,College,Married,27000,0,0,0,3,10,7,3,16,1,1,2
1986,Graduate,Married,27000,1,0,41,7,4,8,7,0,1,1,3
1991,HS,Single,27000,1,0,52,0,0,0,8,3,1,1,2
1951,Graduate,Married,27000,0,0,57,37,12,8,8,11,1,2,3
1966,College,Single,27000,0,0,64,1,26,8,17,23,1,3,3
1977,Graduate,Married,28000,1,0,42,14,0,6,0,0,1,1,2
1982,Graduate,Single,28000,1,0,38,6,0,6,0,0,1,1,2
1974,Graduate,Single,28000,1,0,87,38,1,8,0,0,1,2,3
1983,College,Single,28000,1,0,35,6,0,6,2,1,1,1,2
1967,Graduate,Divorced,28000,1,0,36,4,2,6,2,0,1,1,2
1961,HS,Married,28000,0,0,80,1,9,6,2,14,1,2,3
1961,HS,Married,28000,0,0,80,1,9,6,2,14,1,2,3
1986,Graduate,Married,28000,1,0,10,30,0,7,2,0,1,1,3
1988,College,Single,28000,1,0,31,13,0,7,2,1,1,1,4
1979,Graduate,Single,28000,1,0,80,11,0,7,2,4,1,2,3
1950,College,Single,28000,0,1,68,19,1,14,3,2,1,1,3
1952,College,Married,28000,0,0,58,14,10,7,4,15,1,2,4
1947,HS,Single,28000,0,0,49,1,5,6,7,4,1,1,2
1952,College,Single,28000,0,0,96,24,1,36,29,29,1,4,4
1966,Graduate,Single,29000,1,1,16,8,0,6,0,0,1,1,2
1968,Graduate,Married,29000,1,0,43,26,0,6,0,0,1,1,3
1960,Graduate,Married,29000,1,1,55,11,0,7,0,2,1,1,2
1978,College,Single,29000,1,0,54,19,8,10,0,12,1,2,2
1951,Graduate,Single,29000,1,1,60,6,0,6,2,0,1,1,2
1976,College,Single,29000,1,0,59,8,0,6,3,1,1,1,3
